,nombreestablecimiento,Primary,Secondary,Middle,Preschool,Childcare,bilingual,public,lat,lon
0,INST DE BTO TEC COMERCIAL PITAGORAS                                                                 ,False,True,True,False,False,True,False,4.5977668,-74.0733082
1,GIMNASIO INFANTIL FEDERICO FROEBEL,False,False,False,True,False,False,False,4.6050764,-74.1287115
2,GIMNASIO INFANTIL LOS NIÑOS DEL MAÑANA,True,True,False,True,False,False,False,4.7210207,-74.05454519999999
3,COLEGIO FRANCISCO PRIMERO S.S. (IED),True,True,True,True,False,False,True,4.6521273,-74.0756332
4,COL SAN JUAN VIANETH                                                                                ,True,False,False,True,False,True,False,4.6169361,-74.0636666
5,COL SAN PATRICIO                                                                                    ,True,True,True,True,True,True,False,4.7307369,-74.081751
6,COL CRISTIANO FUENTE DE VIDA                                                                        ,True,False,False,True,False,True,False,4.7054816,-74.1028465
7,LIC PARROQ SAN JOSE                                                                                 ,True,True,True,True,False,False,False,4.5689321,-74.12022639999999
8,LIC ESTRELLITA ESTUDIANTIL                                                                          ,True,False,False,True,False,True,False,4.5901269,-74.15400989999999
9,COL LUIGI PIRANDELLO,True,True,True,True,False,True,False,4.7162608,-74.12612159999999
10,JARDIN INFANTIL CAMPESTRE MI BELLA IMAGEN                                                           ,False,False,False,True,False,False,False,4.7443208,-74.0404874
11,COLEGIO MARCO FIDEL SUAREZ (IED),True,True,True,True,False,False,True,4.5797933,-74.1336635
12,INST ORESTES SINDICI                                                                                ,True,True,True,True,False,False,False,4.5879552,-74.1650478
13,COL DEL BOSQUE                                                                                      ,True,True,True,True,False,True,False,4.7572988,-74.0602315
14,INST SANTA INES                                                                                     ,True,False,False,True,False,True,False,4.571565,-74.16143269999999
15,CENTRO DE EDUCACION LABORAL,False,True,True,False,False,False,False,4.6940898,-74.09218290000001
16,LIC ADOLFO LEON GOMEZ                                                                               ,False,True,True,False,False,False,False,4.4962984,-74.1147582
17,COL CENTRO CULTURAL                                                                                 ,True,True,True,True,False,False,False,4.6078126,-74.19676890000001
18,LIC PEDAGOGICO  LOS SAUCES                                                                          ,True,False,False,True,False,True,False,4.7136531,-74.03526889999999
19,LIC SANTA PAULA,True,True,True,True,False,False,False,4.7044203,-74.1074813
20,COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ,True,True,True,True,False,False,False,4.6495377,-74.0589845
21,COL ADOLFO LEON GOMEZ,False,False,False,False,False,False,False,4.6088977,-74.2086398
22,GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA,True,True,True,True,False,True,False,4.5436858,-74.09047749999999
23,COL INTEGRADO SANTO TORIBIO DE MOGROVEJO                                                            ,True,False,False,True,False,True,False,4.5472527,-74.11210609999999
24,GIMN WILLIAM MACKINLEY                                                                              ,True,True,True,True,False,False,False,4.5708315,-74.0905812
25,LICEO BET-EL,False,True,True,False,False,False,False,4.7345527,-74.08435879999999
26,COLEGIO INTEGRADO EDUARDO CABALLERO CALDERON,True,True,True,True,False,False,False,4.7436248,-74.11352380000001
27,COLEGIO GUSTAVO MORALES MORALES (IED),True,True,True,True,False,False,True,4.716627,-74.0643355
28,LIC PSICOPEDAG UCRANIA                                                                              ,True,False,False,True,False,True,False,4.509962199999999,-74.119911
29,LIC PSICOPEDAG MORATO                                                                               ,True,False,False,True,False,True,False,4.671768399999999,-74.1498757
30,LICEO ARTISTICO SAN JOSE,True,False,False,True,False,False,False,4.744377699999999,-74.11464
31,COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),True,True,True,True,False,False,True,4.690179,-74.0868519
32,INST ANDRES FEY                                                                                     ,True,True,True,True,False,False,False,4.681481199999999,-74.099671
33,INST DE CAPACITACION PARA EL TRABAJO,True,True,True,False,False,True,False,4.6506387,-74.0716494
34,NUEVO LIC SANTA CLARA,True,True,True,True,False,False,False,4.59343,-74.0824052
35,LIC MODERNO MIS COMPAÑERITOS                                                                        ,True,False,False,True,False,False,False,4.673888,-74.1398328
36,JARD INF LERNER Y KLEIN                                                                             ,True,False,False,True,False,True,False,4.542148399999999,-74.1135362
37,INSTITUTO DANTE ALIGHIERI,True,True,True,False,False,False,False,4.763006,-74.02934669999999
38,COLEGIO ALEJANDRO OBREGON (IED),True,True,True,True,False,False,True,4.5763938,-74.1087389
39,LIC  ANDRES DIAZ VENERO DE LEIVA                                                                    ,True,False,False,True,False,False,False,4.7324524,-74.02662289999999
40,JARD INF TALLER EL GARABATEO MATERNO INFANTIL,False,False,False,True,False,False,False,4.6820052,-74.0853278
41,JARDIN INFANTIL UNIVERSO MAGICO,False,False,False,True,False,False,False,4.6476247,-74.0814613
42,COLEGIO ANTONIO JOSE URIBE (IED),True,True,True,True,False,False,True,4.5870692,-74.0885035
43,COL DE LA PRESENTACION SANS FACON                                                                   ,True,True,True,True,False,False,False,4.7498035,-74.0409379
44,LIC EL ENCUENTRO                                                                                    ,True,True,True,True,False,False,False,4.6391335,-74.07177670000002
45,INST MARIA                                                                                          ,True,True,False,True,False,False,False,4.68532,-74.0847119
46,COLEGIO AGUSTIN FERNANDEZ (IED),True,True,True,True,False,False,True,4.7296188,-74.02360879999999
47,EL PORTAL FUNDACION     ,True,False,False,True,False,True,False,4.551755,-74.0949416
48,COLEGIO CEDID SAN PABLO (IED),True,True,True,True,False,False,True,4.608664399999999,-74.18133639999999
49,COL NUEVA INGLATERRA                                                                                ,True,True,True,True,False,True,False,4.7948046,-74.04662499999999
50,GIMN IMPERIAL IGNACIA CAMACHO DE CIFUENTES                                                          ,True,True,True,True,False,True,False,4.6012939,-74.1172287
51,COLEGIO LA PAZ (CED),True,False,False,True,False,False,True,4.543554100000001,-74.1167837
52,NUEVO COL BILING LARCHMONT,True,True,True,True,False,False,False,4.7521233,-74.0226596
53,LIC PSICOPEDAG SAN PABLO,True,True,False,True,False,False,False,4.557417,-74.1105378
54,COLEGIO KUEPA,False,True,True,False,False,False,False,4.6749899,-74.13814889999999
55,JARD INF PITIN                                                                                      ,False,False,False,True,False,True,False,4.5680833,-74.1703703
56,CENT FE Y ALEGRIA PATIO BONITO                                                                      ,True,True,False,True,False,True,False,4.5705236,-74.08243259999999
57,JARD INF SATELITE PRIMAVERA,False,False,False,True,False,False,True,4.6306929,-74.129521
58,COLEGIO ALEXANDER FLEMING (IED),True,True,True,True,False,False,True,4.5718823,-74.1192495
59,JARDÍN INFANTIL CHISPITAS DE LUZ,False,False,False,True,False,False,False,4.710988599999999,-74.072092
60,COL MODERNO ENGATIVA                                                                                ,True,True,True,True,False,True,False,4.7048212,-74.1361306
61,COL SANTO TOMAS DE AQUINO                                                                           ,True,True,True,True,False,True,False,4.717278500000001,-74.0496802
62,GIMNASIO LA FONTAINE,True,False,False,True,False,False,False,4.5927367,-74.1742141
63,UNID PREESC SANTA MONICA                                                                            ,False,False,False,True,False,True,False,4.6456424,-74.0829412
64,COL DE BTO PATRIA                                                                                   ,False,True,True,False,False,False,False,4.6893141,-74.0709184
65,LICEO HUELLAS DE TRIUNFO,False,False,False,False,False,False,False,4.710644500000001,-74.0975181
66,LIC DE CERVANTES EL RETIRO                                                                          ,True,True,True,True,False,False,False,4.664508,-74.0494885
67,COLEGIO ALEMANIA UNIFICADA (IED),True,True,True,True,False,False,True,4.5543312,-74.0983033
68,NUEVO LIC PSICOPEDAGOGICO                                                                           ,True,False,False,True,False,True,False,4.6211464,-74.1480682
69,INST RICHARD ANTONIO                                                                                ,True,False,False,True,False,False,False,4.7172497,-74.1033867
70,LIC INF MIS PRIMEROS LOGROS                                                                         ,True,False,False,True,False,False,False,4.5441169,-74.09173059999999
